pipeline,rank,dataset,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
aer_ablation-mult,1,YAHOOA2,synthetic_66,0,1.0,1.0,1.0,"[[840.0, 954.0, 0.8904420926908804]]","[[894, 894]]",,0,0,1,OK,26.764461,False,1d157fff-9
aer_ablation-mult,2,YAHOOA2,synthetic_74,0,1.0,1.0,1.0,"[[575.0, 717.0, 0.49869669755565826], [845.0, 955.0, 1.2934834474037564]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.541891,False,1d157fff-9
aer_ablation-mult,3,YAHOOA3,A3Benchmark-TS13,0,1.0,1.0,1.0,"[[1.0, 69.0, 0.3763350519168121], [420.0, 552.0, 0.5128556681418225], [703.0, 880.0, 0.28217280424564434], [946.0, 1049.0, 0.14300584931896898], [1185.0, 1345.0, 0.5026319853325676]]","[[15, 15], [470, 470], [497, 497], [753, 753], [793, 793], [828, 828], [996, 996], [1235, 1235], [1292, 1292]]",,0,0,9,OK,29.580344,False,1d157fff-9
aer_ablation-mult,4,UCR,214-STAFFIIIDatabase,0,1.0,1.0,1.0,"[[1260530700.0, 1260619200.0, 0.24878290775521697]]","[[1260535200, 1260730200]]",,0,0,1,OK,594.806638,True,1d157fff-9
aer_ablation-mult,5,YAHOOA2,synthetic_88,0,1.0,1.0,1.0,"[[605.0, 719.0, 0.9448708562512272], [845.0, 955.0, 0.8564827352280684]]","[[659, 660], [894, 895]]",,0,0,2,OK,26.534514,False,1d157fff-9
aer_ablation-mult,6,YAHOOA2,synthetic_63,0,1.0,1.0,1.0,"[[839.0, 954.0, 2.0706896676095434]]","[[894, 894]]",,0,0,1,OK,22.162657,False,1d157fff-9
aer_ablation-mult,7,YAHOOA2,synthetic_77,0,1.0,1.0,1.0,"[[575.0, 717.0, 0.6162705861740615], [845.0, 955.0, 1.3185659686723648]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,20.725178,False,1d157fff-9
aer_ablation-mult,8,YAHOOA2,synthetic_76,0,1.0,1.0,1.0,"[[604.0, 720.0, 1.6232003914792343], [844.0, 955.0, 1.3313374833087985]]","[[659, 660], [894, 895]]",,0,0,2,OK,26.678361,False,1d157fff-9
aer_ablation-mult,9,YAHOOA2,synthetic_62,0,1.0,1.0,1.0,"[[556.0, 717.0, 0.8345492787934325], [845.0, 956.0, 1.7700270813033718]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.746153,False,1d157fff-9
aer_ablation-mult,10,YAHOOA2,synthetic_89,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.7317502509602263], [845.0, 955.0, 1.524027752801223]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.607807,False,1d157fff-9
