pipeline,rank,dataset,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
aer_ablation-pred,1,artificialWithAnomaly,art_daily_flatmiddle,0,1.0,1.0,1.0,"[[1397115600.0, 1397176800.0, 0.11560490065811184], [1397220000.0, 1397264400.0, 0.03534420927311722]]","[[1397106900, 1397227500]]",,0,0,1,OK,34.288133,False,d989d7aa-c
aer_ablation-pred,2,YAHOOA1,real_45,0,1.0,1.0,1.0,"[[1211.0, 1316.0, 1.5885513498186856]]","[[1261, 1261]]",,0,0,1,OK,22.257428,False,d989d7aa-c
aer_ablation-pred,3,YAHOOA2,synthetic_9,0,1.0,1.0,1.0,"[[839.0, 955.0, 1.9264593121345166]]","[[894, 894]]",,0,0,1,OK,25.955865,False,d989d7aa-c
aer_ablation-pred,4,YAHOOA2,synthetic_22,0,1.0,1.0,1.0,"[[607.0, 718.0, 0.31563165989879527], [846.0, 952.0, 0.19204744870142473]]","[[659, 660], [894, 895]]",,0,0,2,OK,27.032634,False,d989d7aa-c
aer_ablation-pred,5,YAHOOA2,synthetic_23,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.7772520343258428], [845.0, 955.0, 1.3998519425494609]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.980506,False,d989d7aa-c
aer_ablation-pred,6,YAHOOA2,synthetic_37,0,1.0,1.0,1.0,"[[605.0, 719.0, 1.1628472093620539], [844.0, 955.0, 0.9418774782519251]]","[[659, 660], [894, 895]]",,0,0,2,OK,26.961713,False,d989d7aa-c
aer_ablation-pred,7,YAHOOA2,synthetic_8,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.37894896055087113], [845.0, 955.0, 0.8287847889626975]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.953799,False,d989d7aa-c
aer_ablation-pred,8,YAHOOA2,synthetic_33,0,1.0,1.0,1.0,"[[846.0, 953.0, 0.30032398656730314]]","[[894, 894]]",,0,0,1,OK,23.848053,False,d989d7aa-c
aer_ablation-pred,9,YAHOOA2,synthetic_27,0,1.0,1.0,1.0,"[[839.0, 954.0, 1.3727427221851027]]","[[894, 894]]",,0,0,1,OK,27.511641,False,d989d7aa-c
aer_ablation-pred,10,YAHOOA2,synthetic_26,0,1.0,1.0,1.0,"[[576.0, 719.0, 0.22238555526261874], [847.0, 953.0, 0.34584344606354483]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,27.159765,False,d989d7aa-c
aer_ablation-pred,11,YAHOOA2,synthetic_32,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.6303576274187066], [845.0, 955.0, 1.2169636349101072]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.977384,False,d989d7aa-c
aer_ablation-pred,12,YAHOOA2,synthetic_30,0,1.0,1.0,1.0,"[[840.0, 955.0, 1.1155488302204366]]","[[894, 894]]",,0,0,1,OK,22.61349,False,d989d7aa-c
aer_ablation-pred,13,YAHOOA2,synthetic_18,0,1.0,1.0,1.0,"[[840.0, 954.0, 1.127686098755158]]","[[894, 894]]",,0,0,1,OK,25.53226,False,d989d7aa-c
aer_ablation-pred,14,YAHOOA2,synthetic_19,0,1.0,1.0,1.0,"[[605.0, 720.0, 0.8407703060723184], [845.0, 955.0, 0.5946020120941643]]","[[659, 660], [894, 895]]",,0,0,2,OK,27.057426,False,d989d7aa-c
aer_ablation-pred,15,YAHOOA2,synthetic_31,0,1.0,1.0,1.0,"[[605.0, 719.0, 0.7900095985780707], [845.0, 955.0, 0.548314303712911]]","[[659, 660], [894, 895]]",,0,0,2,OK,24.129027,False,d989d7aa-c
aer_ablation-pred,16,YAHOOA2,synthetic_25,0,1.0,1.0,1.0,"[[604.0, 720.0, 1.3234593422702758], [845.0, 955.0, 1.1432613421016802]]","[[659, 660], [894, 895]]",,0,0,2,OK,27.040943,False,d989d7aa-c
aer_ablation-pred,17,YAHOOA2,synthetic_81,0,1.0,1.0,1.0,"[[840.0, 954.0, 1.5219747969874795]]","[[894, 894]]",,0,0,1,OK,27.27778,False,d989d7aa-c
aer_ablation-pred,18,YAHOOA2,synthetic_20,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.6012789290047825], [845.0, 955.0, 1.124470076607471]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,24.021158,False,d989d7aa-c
aer_ablation-pred,19,YAHOOA2,synthetic_34,0,1.0,1.0,1.0,"[[605.0, 719.0, 0.9065713526042537], [845.0, 955.0, 0.5388524646195707]]","[[659, 660], [894, 895]]",,0,0,2,OK,26.967585,False,d989d7aa-c
aer_ablation-pred,20,YAHOOA2,synthetic_35,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.681156384957058], [845.0, 955.0, 1.3932539005935767]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.920248,False,d989d7aa-c
aer_ablation-pred,21,YAHOOA2,synthetic_12,0,1.0,1.0,1.0,"[[847.0, 951.0, 0.14578723927545456]]","[[894, 894]]",,0,0,1,OK,26.971067,False,d989d7aa-c
aer_ablation-pred,22,YAHOOA2,synthetic_29,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.5168676518944827], [845.0, 955.0, 0.9294386761126716]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,27.029214,False,d989d7aa-c
aer_ablation-pred,23,YAHOOA2,synthetic_2,0,1.0,1.0,1.0,"[[575.0, 717.0, 0.728698510365184], [845.0, 955.0, 1.9295095832663993]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,25.541696,False,d989d7aa-c
aer_ablation-pred,24,YAHOOA2,synthetic_17,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.6209072167815518], [845.0, 955.0, 1.0138594567515493]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,22.935306,False,d989d7aa-c
aer_ablation-pred,25,YAHOOA2,synthetic_16,0,1.0,1.0,1.0,"[[604.0, 720.0, 1.1378022273389907], [844.0, 955.0, 0.9484630939144815]]","[[659, 660], [894, 895]]",,0,0,2,OK,26.998609,False,d989d7aa-c
aer_ablation-pred,26,YAHOOA2,synthetic_1,0,1.0,1.0,1.0,"[[604.0, 720.0, 1.3464455733206793], [844.0, 955.0, 1.1476282033517429]]","[[659, 660], [894, 895]]",,0,0,2,OK,26.934796,False,d989d7aa-c
aer_ablation-pred,27,YAHOOA2,synthetic_5,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.8556891503491565], [845.0, 955.0, 1.655145911533938]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.916023,False,d989d7aa-c
aer_ablation-pred,28,YAHOOA2,synthetic_13,0,1.0,1.0,1.0,"[[604.0, 720.0, 1.394487572574614], [845.0, 955.0, 1.1276769110837412]]","[[659, 660], [894, 895]]",,0,0,2,OK,26.977375,False,d989d7aa-c
aer_ablation-pred,29,YAHOOA2,synthetic_21,0,1.0,1.0,1.0,"[[839.0, 955.0, 1.952306339585307]]","[[894, 894]]",,0,0,1,OK,26.509262,False,d989d7aa-c
aer_ablation-pred,30,YAHOOA2,synthetic_4,0,1.0,1.0,1.0,"[[604.0, 719.0, 1.3630818913275011], [845.0, 955.0, 1.1702710239536844]]","[[659, 660], [894, 895]]",,0,0,2,OK,26.634714,False,d989d7aa-c
aer_ablation-pred,31,YAHOOA2,synthetic_11,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.7385460406129812], [845.0, 955.0, 1.8149471200247516]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,24.509557,False,d989d7aa-c
aer_ablation-pred,32,YAHOOA2,synthetic_39,0,1.0,1.0,1.0,"[[839.0, 954.0, 1.576254334145575]]","[[894, 894]]",,0,0,1,OK,27.081395,False,d989d7aa-c
aer_ablation-pred,33,YAHOOA2,synthetic_38,0,1.0,1.0,1.0,"[[576.0, 718.0, 0.3159652611491425], [846.0, 954.0, 0.4313387078393038]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,24.471103,False,d989d7aa-c
aer_ablation-pred,34,YAHOOA2,synthetic_10,0,1.0,1.0,1.0,"[[605.0, 719.0, 0.658943293256549], [846.0, 954.0, 0.439349181562008]]","[[659, 660], [894, 895]]",,0,0,2,OK,27.057521,False,d989d7aa-c
aer_ablation-pred,35,YAHOOA2,synthetic_7,0,1.0,1.0,1.0,"[[605.0, 719.0, 1.4731562201294077], [844.0, 955.0, 1.2843625018896703]]","[[659, 660], [894, 895]]",,0,0,2,OK,27.032195,False,d989d7aa-c
aer_ablation-pred,36,YAHOOA2,synthetic_95,0,1.0,1.0,1.0,"[[575.0, 717.0, 0.513242367555799], [845.0, 955.0, 1.0003476978755657]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,26.053997,False,d989d7aa-c
aer_ablation-pred,37,YAHOOA2,synthetic_42,0,1.0,1.0,1.0,"[[839.0, 954.0, 1.6562144683634494]]","[[894, 894]]",,0,0,1,OK,25.914986,False,d989d7aa-c
aer_ablation-pred,38,YAHOOA2,synthetic_56,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.7784471910870083], [845.0, 955.0, 1.681113186619283]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,25.468039,False,d989d7aa-c
aer_ablation-pred,39,YAHOOA2,synthetic_90,0,1.0,1.0,1.0,"[[839.0, 954.0, 1.6450054065962483]]","[[894, 894]]",,0,0,1,OK,26.909376,False,d989d7aa-c
aer_ablation-pred,40,YAHOOA2,synthetic_79,0,1.0,1.0,1.0,"[[605.0, 720.0, 1.3783294879884536], [844.0, 955.0, 1.1908972007758534]]","[[659, 660], [894, 895]]",,0,0,2,OK,20.094121,False,d989d7aa-c
aer_ablation-pred,41,YAHOOA2,synthetic_45,0,1.0,1.0,1.0,"[[846.0, 953.0, 0.30490143330346864]]","[[894, 894]]",,0,0,1,OK,24.626764,False,d989d7aa-c
aer_ablation-pred,42,YAHOOA2,synthetic_51,0,1.0,1.0,1.0,"[[840.0, 954.0, 1.3984486838353234]]","[[894, 894]]",,0,0,1,OK,27.026014,False,d989d7aa-c
aer_ablation-pred,43,YAHOOA2,synthetic_86,0,1.0,1.0,1.0,"[[575.0, 717.0, 0.7153806933953928], [845.0, 955.0, 1.4697405058255955]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,23.471139,False,d989d7aa-c
aer_ablation-pred,44,YAHOOA2,synthetic_92,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.49275245842861054], [845.0, 955.0, 0.965743090125418]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,27.009529,False,d989d7aa-c
aer_ablation-pred,45,YAHOOA2,synthetic_84,0,1.0,1.0,1.0,"[[839.0, 954.0, 1.8547007372459619]]","[[894, 894]]",,0,0,1,OK,21.672179,False,d989d7aa-c
aer_ablation-pred,46,YAHOOA2,synthetic_53,0,1.0,1.0,1.0,"[[575.0, 717.0, 0.48260565090603874], [845.0, 955.0, 1.1102323521432858]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,21.620027,False,d989d7aa-c
