pipeline,rank,dataset,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
aer_ablation-sum,1,artificialWithAnomaly,art_daily_flatmiddle,0,1.0,1.0,1.0,"[[1397218200.0, 1397322000.0, 0.7082915964208741]]","[[1397106900, 1397227500]]",,0,0,1,OK,36.733923,False,a4bc5463-f
aer_ablation-sum,2,YAHOOA2,synthetic_48,0,1.0,1.0,1.0,"[[841.0, 954.0, 0.6786064803175845]]","[[894, 894]]",,0,0,1,OK,28.350836,False,a4bc5463-f
aer_ablation-sum,3,YAHOOA3,A3Benchmark-TS38,0,1.0,1.0,1.0,"[[102.0, 206.0, 0.6962902670824661], [269.0, 374.0, 0.8354773489936601], [867.0, 1060.0, 1.0802493444012067]]","[[152, 152], [319, 319], [917, 917]]",,0,0,3,OK,31.068381,False,a4bc5463-f
aer_ablation-sum,4,YAHOOA3,A3Benchmark-TS11,0,1.0,1.0,1.0,"[[26.0, 204.0, 0.18632863209993866], [365.0, 470.0, 0.5045271127633598], [906.0, 1010.0, 0.32681135937096084], [1018.0, 1122.0, 0.5790977989983823], [1309.0, 1414.0, 0.6168528652076609]]","[[76, 76], [117, 117], [152, 152], [415, 415], [956, 956], [1068, 1068], [1359, 1359]]",,0,0,7,OK,32.729599,False,a4bc5463-f
aer_ablation-sum,5,YAHOOA3,A3Benchmark-TS13,0,1.0,1.0,1.0,"[[1.0, 66.0, 0.09120127740995483], [420.0, 551.0, 0.31700319474652366], [703.0, 879.0, 0.27933061001524284], [946.0, 1048.0, 0.155582257813244], [1185.0, 1347.0, 0.5360766962555746]]","[[15, 15], [470, 470], [497, 497], [753, 753], [793, 793], [828, 828], [996, 996], [1235, 1235], [1292, 1292]]",,0,0,9,OK,33.016103,False,a4bc5463-f
aer_ablation-sum,6,YAHOOA2,synthetic_88,0,1.0,1.0,1.0,"[[605.0, 719.0, 0.8395759728269342], [845.0, 955.0, 0.7825704345177016]]","[[659, 660], [894, 895]]",,0,0,2,OK,28.348752,False,a4bc5463-f
aer_ablation-sum,7,YAHOOA2,synthetic_63,0,1.0,1.0,1.0,"[[839.0, 954.0, 2.1204938372469972]]","[[894, 894]]",,0,0,1,OK,22.727458,False,a4bc5463-f
aer_ablation-sum,8,YAHOOA2,synthetic_77,0,1.0,1.0,1.0,"[[575.0, 717.0, 0.6423659706807988], [845.0, 955.0, 1.387339488934754]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,22.388909,False,a4bc5463-f
aer_ablation-sum,9,YAHOOA2,synthetic_76,0,1.0,1.0,1.0,"[[604.0, 720.0, 1.6489496369546137], [844.0, 955.0, 1.2931260189423697]]","[[659, 660], [894, 895]]",,0,0,2,OK,29.429647,False,a4bc5463-f
aer_ablation-sum,10,YAHOOA2,synthetic_62,0,1.0,1.0,1.0,"[[554.0, 717.0, 0.7222606930027842], [844.0, 955.0, 1.6885945142327903]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,29.021181,False,a4bc5463-f
aer_ablation-sum,11,YAHOOA2,synthetic_89,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.7111997662985606], [845.0, 955.0, 1.5379620427920098]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,29.096992,False,a4bc5463-f
aer_ablation-sum,12,YAHOOA2,synthetic_74,0,1.0,1.0,1.0,"[[575.0, 717.0, 0.5667011309290109], [845.0, 955.0, 1.5102442529153977]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,29.673108,False,a4bc5463-f
aer_ablation-sum,13,YAHOOA2,synthetic_96,0,1.0,1.0,1.0,"[[847.0, 952.0, 0.1833038738624316]]","[[894, 894]]",,0,0,1,OK,29.295072,False,a4bc5463-f
