pipeline,rank,dataset,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
aer_ablation-rec,1,artificialWithAnomaly,art_daily_flatmiddle,0,1.0,1.0,1.0,"[[1397218800.0, 1397280000.0, 0.03220424099760139]]","[[1397106900, 1397227500]]",,0,0,1,OK,37.665512,False,9346bda3-2
aer_ablation-rec,2,YAHOOA2,synthetic_18,0,1.0,1.0,1.0,"[[840.0, 954.0, 1.1377289434279454]]","[[894, 894]]",,0,0,1,OK,25.690808,False,9346bda3-2
aer_ablation-rec,3,YAHOOA2,synthetic_8,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.3684528012361969], [845.0, 955.0, 0.8675031908670395]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,27.572828,False,9346bda3-2
aer_ablation-rec,4,YAHOOA2,synthetic_33,0,1.0,1.0,1.0,"[[846.0, 953.0, 0.27813900439640193]]","[[894, 894]]",,0,0,1,OK,27.636711,False,9346bda3-2
aer_ablation-rec,5,YAHOOA2,synthetic_27,0,1.0,1.0,1.0,"[[839.0, 954.0, 1.346740467071605]]","[[894, 894]]",,0,0,1,OK,30.190689,False,9346bda3-2
aer_ablation-rec,6,YAHOOA2,synthetic_26,0,1.0,1.0,1.0,"[[576.0, 719.0, 0.23051746840292775], [847.0, 954.0, 0.3724599012263561]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,28.818715,False,9346bda3-2
aer_ablation-rec,7,YAHOOA2,synthetic_32,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.524967485844545], [845.0, 956.0, 1.1740765179765231]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,28.353598,False,9346bda3-2
aer_ablation-rec,8,YAHOOA2,synthetic_30,0,1.0,1.0,1.0,"[[840.0, 954.0, 1.3106551876175476]]","[[894, 894]]",,0,0,1,OK,30.966609,False,9346bda3-2
aer_ablation-rec,9,YAHOOA2,synthetic_19,0,1.0,1.0,1.0,"[[605.0, 719.0, 0.8339781971119183], [845.0, 955.0, 0.6079458778447352]]","[[659, 660], [894, 895]]",,0,0,2,OK,30.196748,False,9346bda3-2
aer_ablation-rec,10,YAHOOA2,synthetic_23,0,1.0,1.0,1.0,"[[575.0, 718.0, 0.8145125420409866], [845.0, 956.0, 1.505622901456138]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,27.259744,False,9346bda3-2
aer_ablation-rec,11,YAHOOA2,synthetic_31,0,1.0,1.0,1.0,"[[605.0, 719.0, 0.7964238261512212], [845.0, 955.0, 0.543867452983512]]","[[659, 660], [894, 895]]",,0,0,2,OK,29.867874,False,9346bda3-2
