dataset,pipeline,signal,iteration,status,elapsed,split,run_id,expected,index,y,y_hat,fy_hat,ry_hat,scores,f1,recall,precision,tn,fp,fn,tp
SMAP,U_aer,A-1,0,OK,26.77263,True,61368e85-0,"[[1386331200, 1388145600]]",[1285027200 1285048800 1285070400 ... 1471586400 1471608000 1471629600],"[[[-0.998]
  [-0.998]
  [-0.998]
  ...
  [-0.998]
  [-0.998]
  [-0.998]]

 [[-0.998]
  [-0.998]
  [-0.998]
  ...
  [-0.998]
  [-0.998]
  [-0.998]]

 [[-0.998]
  [-0.998]
  [-0.998]
  ...
  [-0.998]
  [-0.998]
  [-0.998]]

 ...

 [[-0.998]
  [-0.998]
  [-0.998]
  ...
  [-0.998]
  [-0.998]
  [-0.998]]

 [[-0.998]
  [-0.998]
  [-0.998]
  ...
  [-0.998]
  [-0.998]
  [-0.998]]

 [[-0.998]
  [-0.998]
  [-0.998]
  ...
  [-0.998]
  [-0.998]
  [-0.998]]]","[[[-1.021115 ]
  [-1.0105575]
  [-1.0024611]
  ...
  [-1.0022018]
  [-1.0084274]
  [-1.0021241]]

 [[-1.021115 ]
  [-1.0105575]
  [-1.0024611]
  ...
  [-1.0022018]
  [-1.0084274]
  [-1.0021241]]

 [[-1.021115 ]
  [-1.0105575]
  [-1.0024611]
  ...
  [-1.0022018]
  [-1.0084274]
  [-1.0021241]]

 ...

 [[-1.021115 ]
  [-1.0105575]
  [-1.0024611]
  ...
  [-1.0022018]
  [-1.0084274]
  [-1.0021241]]

 [[-1.021115 ]
  [-1.0105575]
  [-1.0024611]
  ...
  [-1.0022018]
  [-1.0084274]
  [-1.0021241]]

 [[-1.021115 ]
  [-1.0105575]
  [-1.0024611]
  ...
  [-1.0022018]
  [-1.0084274]
  [-1.0021241]]]","[[-0.9993797]
 [-0.9993797]
 [-0.9993797]
 ...
 [-0.9993797]
 [-0.9993797]
 [-0.9993797]]","[[-0.9989817]
 [-0.9989817]
 [-0.9989817]
 ...
 [-0.9989817]
 [-0.9989817]
 [-0.9989817]]",[1.         1.00803213 1.00803213 ... 1.01227535 1.01215685 1.00409186],1.0,1.0,1.0,,0,0,1
SMAP,U_aer,A-2,0,OK,37.045322,True,61368e85-0,"[[1376136000, 1378512000]]",[1280016000 1280037600 1280059200 ... 1450893600 1450915200 1450936800],"[[[-0.71192239]
  [-0.71192239]
  [-0.71192239]
  ...
  [-0.72036119]
  [-0.72036119]
  [-0.44074139]]

 [[-0.71192239]
  [-0.71192239]
  [-0.71192239]
  ...
  [-0.72036119]
  [-0.44074139]
  [-0.72878366]]

 [[-0.71192239]
  [-0.71192239]
  [-0.72036119]
  ...
  [-0.44074139]
  [-0.72878366]
  [-0.72878366]]

 ...

 [[ 0.16105686]
  [ 0.16105686]
  [-0.11863311]
  ...
  [-0.11863311]
  [-0.11863311]
  [-0.11863311]]

 [[ 0.16105686]
  [-0.11863311]
  [-0.11863311]
  ...
  [-0.11863311]
  [-0.11863311]
  [-0.11863311]]

 [[-0.11863311]
  [-0.11863311]
  [-0.11863311]
  ...
  [-0.11863311]
  [-0.11863311]
  [-0.11863311]]]","[[[-0.75934607]
  [-0.7490006 ]
  [-0.7351526 ]
  ...
  [-0.69711477]
  [-0.74614424]
  [-0.7862288 ]]

 [[-0.7660882 ]
  [-0.75199455]
  [-0.73506606]
  ...
  [-0.6864041 ]
  [-0.7298259 ]
  [-0.7639317 ]]

 [[-0.7703457 ]
  [-0.7549077 ]
  [-0.7364218 ]
  ...
  [-0.6963299 ]
  [-0.73831034]
  [-0.771458  ]]

 ...

 [[-0.00843822]
  [-0.03014185]
  [-0.03891663]
  ...
  [-0.01395482]
  [-0.05048928]
  [-0.0602278 ]]

 [[-0.10500601]
  [-0.12118627]
  [-0.12290283]
  ...
  [-0.04331826]
  [-0.07819198]
  [-0.08129687]]

 [[-0.11551431]
  [-0.12911724]
  [-0.12814654]
  ...
  [-0.06730906]
  [-0.10057722]
  [-0.09971823]]]","[[-0.68742   ]
 [-0.6599161 ]
 [-0.6669521 ]
 ...
 [-0.01670536]
 [-0.01874343]
 [-0.02661917]]","[[-0.65328074]
 [-0.6658092 ]
 [-0.67080617]
 ...
 [ 0.05115633]
 [-0.04076   ]
 [-0.04829322]]",[1.         1.26561178 1.26561178 ... 2.10512568 2.09402979 1.34836817],1.0,1.0,1.0,,0,0,1
SMAP,U_aer,A-3,0,OK,37.435712,True,61368e85-0,"[[1380736800, 1384732800]]",[1281916800 1281938400 1281960000 ... 1459080000 1459101600 1459123200],"[[[ 0.40241647]
  [ 0.20466603]
  [ 0.40241647]
  ...
  [ 0.00681975]
  [-0.19551296]
  [ 0.00681975]]

 [[ 0.20466603]
  [ 0.40241647]
  [ 0.20466603]
  ...
  [-0.19551296]
  [ 0.00681975]
  [ 0.00681975]]

 [[ 0.40241647]
  [ 0.20466603]
  [ 0.20466603]
  ...
  [ 0.00681975]
  [ 0.00681975]
  [ 0.00681975]]

 ...

 [[-0.00673723]
  [ 0.19082072]
  [ 0.19082072]
  ...
  [ 0.19082072]
  [ 0.19082072]
  [ 0.19082072]]

 [[ 0.19082072]
  [ 0.19082072]
  [ 0.19082072]
  ...
  [ 0.19082072]
  [ 0.19082072]
  [ 0.18617658]]

 [[ 0.19082072]
  [ 0.19082072]
  [ 0.19082072]
  ...
  [ 0.19082072]
  [ 0.18617658]
  [ 0.388282  ]]]","[[[ 0.43299618]
  [ 0.38105598]
  [ 0.31330338]
  ...
  [ 0.05578879]
  [ 0.04669776]
  [ 0.02717741]]

 [[ 0.4420109 ]
  [ 0.38646883]
  [ 0.31506008]
  ...
  [ 0.03466374]
  [ 0.02203437]
  [-0.00187835]]

 [[ 0.37826356]
  [ 0.32521772]
  [ 0.2573617 ]
  ...
  [ 0.0108112 ]
  [-0.00427968]
  [-0.0306078 ]]

 ...

 [[ 0.17247662]
  [ 0.19887395]
  [ 0.21196826]
  ...
  [ 0.20661147]
  [ 0.2576605 ]
  [ 0.29952532]]

 [[ 0.1964293 ]
  [ 0.22221197]
  [ 0.2343985 ]
  ...
  [ 0.22372963]
  [ 0.27482986]
  [ 0.31708375]]

 [[ 0.22534586]
  [ 0.25016096]
  [ 0.2611831 ]
  ...
  [ 0.23818944]
  [ 0.28899214]
  [ 0.33139208]]]","[[-0.07380375]
 [-0.10563987]
 [-0.13157982]
 ...
 [ 0.27619576]
 [ 0.29115525]
 [ 0.30307525]]","[[0.4023711 ]
 [0.4170159 ]
 [0.35816967]
 ...
 [0.09131537]
 [0.11199294]
 [0.13810717]]",[1.         1.23892024 1.23892024 ... 1.6499385  1.65331192 1.3101503 ],1.0,1.0,1.0,,0,0,1
SMAP,U_aer,A-4,0,OK,28.855793,True,61368e85-0,"[[1379203200, 1381579200]]",[1280923200 1280944800 1280966400 ... 1455386400 1455408000 1455429600],"[[[ 0.25233584]
  [ 0.25233584]
  [ 0.25233584]
  ...
  [ 0.37861996]
  [ 0.25233584]
  [ 0.1278757 ]]

 [[ 0.25233584]
  [ 0.25233584]
  [ 0.25233584]
  ...
  [ 0.25233584]
  [ 0.1278757 ]
  [ 0.25415981]]

 [[ 0.25233584]
  [ 0.25233584]
  [ 0.37861996]
  ...
  [ 0.1278757 ]
  [ 0.25415981]
  [-0.12455332]]

 ...

 [[-0.00359618]
  [ 0.24677617]
  [ 0.24677617]
  ...
  [ 0.24677617]
  [ 0.24677617]
  [ 0.37099062]]

 [[ 0.24677617]
  [ 0.24677617]
  [ 0.24677617]
  ...
  [ 0.24677617]
  [ 0.37099062]
  [ 0.49713448]]

 [[ 0.24677617]
  [ 0.24677617]
  [ 0.24677617]
  ...
  [ 0.37099062]
  [ 0.49713448]
  [ 0.11884675]]]","[[[0.3925714 ]
  [0.37713122]
  [0.34473744]
  ...
  [0.3260552 ]
  [0.33298752]
  [0.31951445]]

 [[0.3963049 ]
  [0.37791538]
  [0.34328103]
  ...
  [0.29838815]
  [0.30158412]
  [0.28395548]]

 [[0.38867876]
  [0.36766723]
  [0.33095065]
  ...
  [0.28898776]
  [0.2898819 ]
  [0.2699246 ]]

 ...

 [[0.26492286]
  [0.2954686 ]
  [0.31368914]
  ...
  [0.25514233]
  [0.29206452]
  [0.31499532]]

 [[0.2709318 ]
  [0.30429345]
  [0.3240072 ]
  ...
  [0.28311315]
  [0.32244018]
  [0.3472367 ]]

 [[0.27994046]
  [0.3148303 ]
  [0.3346062 ]
  ...
  [0.31782588]
  [0.36032385]
  [0.38810933]]]","[[0.21937728]
 [0.18063399]
 [0.16529827]
 ...
 [0.28209814]
 [0.31100112]
 [0.3493816 ]]","[[0.35471976]
 [0.36437634]
 [0.36128157]
 ...
 [0.20152186]
 [0.20035288]
 [0.2025023 ]]",[1.00546571 1.46195073 1.46195073 ... 2.00150862 2.02571703 1.24908519],1.0,1.0,1.0,,0,0,1
SMAP,U_aer,A-5,0,OK,17.678422,True,61368e85-0,"[[1297447200, 1298527200]]",[1238047200 1238068800 1238090400 ... 1339351200 1339372800 1339394400],"[[[ 2.03490137e+00]
  [ 2.03490137e+00]
  [ 3.04653515e+00]
  ...
  [ 1.16337886e-02]
  [ 1.16337886e-02]
  [ 1.16337886e-02]]

 [[ 2.03490137e+00]
  [ 3.04653515e+00]
  [ 3.04653515e+00]
  ...
  [ 1.16337886e-02]
  [ 1.16337886e-02]
  [-1.00000000e+00]]

 [[ 3.04653515e+00]
  [ 3.04653515e+00]
  [ 2.03490137e+00]
  ...
  [ 1.16337886e-02]
  [-1.00000000e+00]
  [ 1.16337886e-02]]

 ...

 [[ 2.98129641e+03]
  [ 2.98129641e+03]
  [ 2.98230804e+03]
  ...
  [ 2.98129641e+03]
  [ 2.98230804e+03]
  [ 2.98129641e+03]]

 [[ 2.98129641e+03]
  [ 2.98230804e+03]
  [ 2.98129641e+03]
  ...
  [ 2.98230804e+03]
  [ 2.98129641e+03]
  [ 2.98129641e+03]]

 [[ 2.98230804e+03]
  [ 2.98129641e+03]
  [ 2.98230804e+03]
  ...
  [ 2.98129641e+03]
  [ 2.98129641e+03]
  [ 2.98129641e+03]]]","[[[0.44448602]
  [0.45915496]
  [0.46905535]
  ...
  [0.35402918]
  [0.31105733]
  [0.25292265]]

 [[0.45502216]
  [0.4690898 ]
  [0.47853005]
  ...
  [0.35306948]
  [0.3092602 ]
  [0.25054497]]

 [[0.42596906]
  [0.43369436]
  [0.43857962]
  ...
  [0.28375536]
  [0.24110778]
  [0.18594126]]

 ...

 [[0.70050293]
  [0.71255964]
  [0.72050804]
  ...
  [0.61563027]
  [0.5553245 ]
  [0.45850283]]

 [[0.7005029 ]
  [0.7125597 ]
  [0.7205081 ]
  ...
  [0.6156301 ]
  [0.5553244 ]
  [0.4585027 ]]

 [[0.70050293]
  [0.71255964]
  [0.72050804]
  ...
  [0.61563027]
  [0.5553245 ]
  [0.45850283]]]","[[0.17401473]
 [0.17146407]
 [0.11394237]
 ...
 [0.3034972 ]
 [0.30349702]
 [0.3034972 ]]","[[0.4226411 ]
 [0.43386805]
 [0.41368276]
 ...
 [0.6815725 ]
 [0.6815725 ]
 [0.6815725 ]]",[1.         1.00002928 1.00002928 ... 3.32875917 3.30949536 1.99976736],1.0,1.0,1.0,,0,0,1
SMAP,U_aer,A-6,0,OK,16.430558,True,61368e85-0,"[[1278374400, 1279238400]]",[1237550400 1237572000 1237593600 ... 1333670400 1333692000 1333713600],"[[[-0.07462687]
  [-0.07462687]
  [-0.07512438]
  ...
  [-0.07512438]
  [-0.07512438]
  [-0.07512438]]

 [[-0.07462687]
  [-0.07512438]
  [-0.07512438]
  ...
  [-0.07512438]
  [-0.07512438]
  [-0.07512438]]

 [[-0.07512438]
  [-0.07512438]
  [-0.07512438]
  ...
  [-0.07512438]
  [-0.07512438]
  [-0.07512438]]

 ...

 [[-0.35621891]
  [-0.35621891]
  [-0.35572139]
  ...
  [-0.35572139]
  [-0.35572139]
  [-0.35621891]]

 [[-0.35621891]
  [-0.35572139]
  [-0.35572139]
  ...
  [-0.35572139]
  [-0.35621891]
  [-0.35621891]]

 [[-0.35572139]
  [-0.35572139]
  [-0.35572139]
  ...
  [-0.35621891]
  [-0.35621891]
  [-0.35621891]]]","[[[-0.25099623]
  [-0.26520747]
  [-0.26825228]
  ...
  [-0.32092467]
  [-0.3224823 ]
  [-0.30554765]]

 [[-0.25103506]
  [-0.26524603]
  [-0.26829022]
  ...
  [-0.3209534 ]
  [-0.32250878]
  [-0.30557027]]

 [[-0.25102744]
  [-0.26523727]
  [-0.26828068]
  ...
  [-0.32094193]
  [-0.32249737]
  [-0.30555913]]

 ...

 [[-0.5731429 ]
  [-0.5813353 ]
  [-0.5720672 ]
  ...
  [-0.6425936 ]
  [-0.66575307]
  [-0.6628067 ]]

 [[-0.573133  ]
  [-0.5813274 ]
  [-0.57206017]
  ...
  [-0.642591  ]
  [-0.6657525 ]
  [-0.6628086 ]]

 [[-0.573153  ]
  [-0.58134836]
  [-0.5720814 ]
  ...
  [-0.64261186]
  [-0.6657738 ]
  [-0.66283065]]]","[[-0.25271252]
 [-0.25272766]
 [-0.25271735]
 ...
 [-0.5716186 ]
 [-0.5716242 ]
 [-0.5716457 ]]","[[-0.21352477]
 [-0.21356261]
 [-0.21355677]
 ...
 [-0.5093627 ]
 [-0.509349  ]
 [-0.50936615]]",[1.         1.05376349 1.05376349 ... 1.38962675 1.38778776 1.20336215],1.0,1.0,1.0,,0,0,1
SMAP,U_aer,A-7,0,OK,39.307063,True,61368e85-0,"[[1418925600, 1470765600]]",[1285005600 1285027200 1285048800 ... 1471370400 1471392000 1471413600],"[[[ 1.02853854e-01]
  [-5.96398298e-04]
  [-1.38517600e-01]
  ...
  [ 3.09803747e-01]
  [ 2.40814794e-01]
  [ 2.06322424e-01]]

 [[-5.96398298e-04]
  [-1.38517600e-01]
  [-2.76416119e-01]
  ...
  [ 2.40814794e-01]
  [ 2.06322424e-01]
  [ 1.37341973e-01]]

 [[-1.38517600e-01]
  [-2.76416119e-01]
  [-4.83215826e-01]
  ...
  [ 2.06322424e-01]
  [ 1.37341973e-01]
  [ 3.38874509e-02]]

 ...

 [[-6.89969987e-01]
  [-7.58876692e-01]
  [-7.58876692e-01]
  ...
  [-7.93327920e-01]
  [-7.24424061e-01]
  [-7.93327920e-01]]

 [[-7.58876692e-01]
  [-7.58876692e-01]
  [-7.24424061e-01]
  ...
  [-7.24424061e-01]
  [-7.93327920e-01]
  [-8.27777742e-01]]

 [[-7.58876692e-01]
  [-7.24424061e-01]
  [-7.93327920e-01]
  ...
  [-7.93327920e-01]
  [-8.27777742e-01]
  [-7.24424061e-01]]]","[[[-0.00207745]
  [-0.15332103]
  [-0.34401488]
  ...
  [ 0.33117598]
  [ 0.3772645 ]
  [ 0.33028817]]

 [[-0.16304597]
  [-0.3156684 ]
  [-0.48512605]
  ...
  [ 0.34628654]
  [ 0.34954453]
  [ 0.27910396]]

 [[-0.30682924]
  [-0.44555378]
  [-0.5745429 ]
  ...
  [ 0.3155466 ]
  [ 0.2821823 ]
  [ 0.19361135]]

 ...

 [[-0.8054161 ]
  [-0.8229598 ]
  [-0.8354342 ]
  ...
  [-0.67633575]
  [-0.6583455 ]
  [-0.6011777 ]]

 [[-0.81391704]
  [-0.8304442 ]
  [-0.8411993 ]
  ...
  [-0.7003883 ]
  [-0.701096  ]
  [-0.66343987]]

 [[-0.78222096]
  [-0.8114504 ]
  [-0.8350136 ]
  ...
  [-0.7083828 ]
  [-0.7169073 ]
  [-0.6864759 ]]]","[[ 0.17056492]
 [ 0.12454432]
 [ 0.05049994]
 ...
 [-0.44954658]
 [-0.5182052 ]
 [-0.5457967 ]]","[[ 0.03480438]
 [-0.09145702]
 [-0.20792964]
 ...
 [-0.7527934 ]
 [-0.7576263 ]
 [-0.7169113 ]]",[1.         1.18529266 1.18529266 ... 2.57916702 2.58440078 1.91580135],1.0,1.0,1.0,,0,0,1
SMAP,U_aer,A-8,0,OK,22.586922,True,61368e85-0,"[[1337968800, 1420156800]]",[1239278400 1239300000 1239321600 ... 1420113600 1420135200 1420156800],"[[[0.9392753 ]
  [0.9392753 ]
  [0.9392753 ]
  ...
  [0.69645066]
  [0.69645066]
  [0.69645066]]

 [[0.9392753 ]
  [0.9392753 ]
  [0.9392753 ]
  ...
  [0.69645066]
  [0.69645066]
  [0.69645066]]

 [[0.9392753 ]
  [0.9392753 ]
  [0.9392753 ]
  ...
  [0.69645066]
  [0.69645066]
  [0.69645066]]

 ...

 [[0.15052898]
  [0.15052898]
  [0.15052898]
  ...
  [0.51441003]
  [0.51441003]
  [0.51441003]]

 [[0.15052898]
  [0.15052898]
  [0.15052898]
  ...
  [0.51441003]
  [0.51441003]
  [0.51441003]]

 [[0.15052898]
  [0.15052898]
  [0.15052898]
  ...
  [0.51441003]
  [0.51441003]
  [0.51441003]]]","[[[1.2213182 ]
  [1.2590154 ]
  [1.2446716 ]
  ...
  [0.7095475 ]
  [0.6833146 ]
  [0.62478375]]

 [[1.2275912 ]
  [1.2648926 ]
  [1.2502745 ]
  ...
  [0.6985623 ]
  [0.67217803]
  [0.6135816 ]]

 [[1.2315999 ]
  [1.2686065 ]
  [1.2538035 ]
  ...
  [0.69368863]
  [0.6672526 ]
  [0.608675  ]]

 ...

 [[0.40376297]
  [0.42778155]
  [0.42470685]
  ...
  [0.2561124 ]
  [0.24533205]
  [0.21834755]]

 [[0.40745384]
  [0.43154666]
  [0.42837402]
  ...
  [0.2568006 ]
  [0.24591355]
  [0.2187401 ]]

 [[0.41187534]
  [0.43604186]
  [0.43274853]
  ...
  [0.2576316 ]
  [0.24660192]
  [0.21918945]]]","[[0.51066095]
 [0.49958947]
 [0.4948667 ]
 ...
 [0.16428927]
 [0.16434911]
 [0.16439322]]","[[1.0682604 ]
 [1.0752506 ]
 [1.0798444 ]
 ...
 [0.32664603]
 [0.3299103 ]
 [0.33385935]]",[1.         1.02841902 1.02841902 ... 2.74969187 2.75902578 1.59760134],0.0,0.0,0.0,,0,1,0
SMAP,U_aer,A-9,0,OK,22.508484,True,61368e85-0,"[[1337968800, 1421431200]]",[1239278400 1239300000 1239321600 ... 1421388000 1421409600 1421431200],"[[[ 1.        ]
  [ 1.        ]
  [ 1.        ]
  ...
  [ 0.84920582]
  [ 0.84543232]
  [ 0.84543232]]

 [[ 1.        ]
  [ 1.        ]
  [ 0.99623386]
  ...
  [ 0.84543232]
  [ 0.84543232]
  [ 0.84165858]]

 [[ 1.        ]
  [ 0.99623386]
  [ 0.99623386]
  ...
  [ 0.84543232]
  [ 0.84165858]
  [ 0.84165858]]

 ...

 [[-0.46839794]
  [-0.46839794]
  [-0.46839794]
  ...
  [-0.47205232]
  [-0.47205232]
  [-0.47205232]]

 [[-0.46839794]
  [-0.46839794]
  [-0.46839794]
  ...
  [-0.47205232]
  [-0.47205232]
  [-0.47205232]]

 [[-0.46839794]
  [-0.46839794]
  [-0.46839794]
  ...
  [-0.47205232]
  [-0.47205232]
  [-0.46839794]]]","[[[ 1.0358204 ]
  [ 1.0626028 ]
  [ 1.0522724 ]
  ...
  [ 1.0100324 ]
  [ 1.0247084 ]
  [ 1.0099328 ]]

 [[ 1.0345882 ]
  [ 1.0614413 ]
  [ 1.0511761 ]
  ...
  [ 1.0089362 ]
  [ 1.0235821 ]
  [ 1.0087817 ]]

 [[ 1.0329949 ]
  [ 1.0599247 ]
  [ 1.0497316 ]
  ...
  [ 1.0075787 ]
  [ 1.0222098 ]
  [ 1.0074059 ]]

 ...

 [[-1.3221822 ]
  [-1.3543184 ]
  [-1.350944  ]
  ...
  [-0.29354247]
  [-0.28267875]
  [-0.21971935]]

 [[-1.3224314 ]
  [-1.354557  ]
  [-1.3511707 ]
  ...
  [-0.29248866]
  [-0.28161305]
  [-0.21863735]]

 [[-1.3226954 ]
  [-1.354814  ]
  [-1.3514184 ]
  ...
  [-0.2915843 ]
  [-0.2806944 ]
  [-0.21769673]]]","[[ 0.9086213 ]
 [ 0.9075223 ]
 [ 0.9062369 ]
 ...
 [-0.05294228]
 [-0.05183446]
 [-0.05085781]]","[[ 0.8986542]
 [ 0.8974321]
 [ 0.8958555]
 ...
 [-1.2130523]
 [-1.2133042]
 [-1.2135634]]",[1.         1.02809286 1.02809286 ... 1.76569082 1.76197932 1.50882985],1.0,1.0,1.0,,0,0,1
YAHOOA3,U_aer,A3Benchmark-TS100,0,OK,21.794882,False,61368e85-0,"[[150, 150], [343, 343], [398, 398], [423, 423], [602, 602], [674, 674], [998, 998], [1186, 1186], [1274, 1274], [1376, 1376]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.18150176]
  [ 0.04360542]
  [ 0.27940796]
  ...
  [-0.00865271]
  [ 0.23149809]
  [ 0.27884304]]

 [[ 0.04360542]
  [ 0.27940796]
  [ 0.44773217]
  ...
  [ 0.23149809]
  [ 0.27884304]
  [ 0.24454602]]

 [[ 0.27940796]
  [ 0.44773217]
  [ 0.40840296]
  ...
  [ 0.27884304]
  [ 0.24454602]
  [ 0.11804594]]

 ...

 [[-0.0959035 ]
  [-0.34595259]
  [-0.49331476]
  ...
  [-0.44348411]
  [-0.59353898]
  [-0.80637504]]

 [[-0.34595259]
  [-0.49331476]
  [-0.60031009]
  ...
  [-0.59353898]
  [-0.80637504]
  [-0.74011333]]

 [[-0.49331476]
  [-0.60031009]
  [-0.6908224 ]
  ...
  [-0.80637504]
  [-0.74011333]
  [-0.63862732]]]","[[[ 0.08655645]
  [ 0.29797876]
  [ 0.395761  ]
  ...
  [-0.30071273]
  [ 0.01286098]
  [ 0.26272416]]

 [[ 0.26396847]
  [ 0.37245026]
  [ 0.38019365]
  ...
  [-0.00556088]
  [ 0.22963114]
  [ 0.35197237]]

 [[ 0.39870176]
  [ 0.38928396]
  [ 0.29068995]
  ...
  [ 0.1697285 ]
  [ 0.2910279 ]
  [ 0.29104522]]

 ...

 [[-0.3225409 ]
  [-0.54400724]
  [-0.68416184]
  ...
  [-0.39632234]
  [-0.6052304 ]
  [-0.78239834]]

 [[-0.5293318 ]
  [-0.68954545]
  [-0.72579664]
  ...
  [-0.50276756]
  [-0.73243284]
  [-0.888114  ]]

 [[-0.6694817 ]
  [-0.7215564 ]
  [-0.63514996]
  ...
  [-0.62099653]
  [-0.8170925 ]
  [-0.89392287]]]","[[ 0.35353014]
 [ 0.2971406 ]
 [ 0.13650616]
 ...
 [-0.7724346 ]
 [-0.8056599 ]
 [-0.71766526]]","[[-0.23091088]
 [ 0.05114798]
 [ 0.31263918]
 ...
 [-0.04821428]
 [-0.2566757 ]
 [-0.47232282]]",[1.         1.05032632 1.05032632 ... 1.37651577 1.34679054 1.2218401 ],0.6666666666666666,0.5,1.0,,0,5,5
