,dataset,pipeline,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
0,SMAP,arima,A-1,0,0.0,0.0,0.0,0,0,,0,1,0,ERROR,4.581079,True,be02c475-2
0,SMAP,arima,A-2,0,,0.0,0.0,"[[1285416000.0, 1286647200.0, 0.5724577525640936]]","[[1376136000, 1378512000]]",,1,1,0,OK,122.572125,True,be02c475-2
0,SMAP,arima,A-3,0,1.0,1.0,1.0,"[[1380952800.0, 1383760800.0, 0.5919215076457344]]","[[1380736800, 1384732800]]",,0,0,1,OK,132.116747,True,be02c475-2
0,SMAP,arima,A-4,0,0.6666666666666666,1.0,0.5,"[[1286323200.0, 1287446400.0, 0.3988933408217348], [1378533600.0, 1381039200.0, 0.25371185487766423]]","[[1379203200, 1381579200]]",,1,0,1,OK,132.083449,True,be02c475-2
0,SMAP,arima,A-5,0,0.4,1.0,0.25,"[[1271246400.0, 1273471200.0, 0.03492590000639737], [1296777600.0, 1299607200.0, 2.0837732021465305], [1300600800.0, 1302091200.0, 0.5405940730863644], [1303776000.0, 1305331200.0, 5.369916662522492]]","[[1297447200, 1298527200]]",,3,0,1,OK,76.957922,True,be02c475-2
0,SMAP,arima,A-6,0,0.0,0.0,0.0,0,0,,0,1,0,ERROR,35.062239,True,be02c475-2
0,SMAP,arima,A-7,0,,0.0,0.0,"[[1290405600.0, 1291658400.0, 0.16274126762756114]]","[[1418925600, 1470765600]]",,1,1,0,OK,133.493754,True,be02c475-2
0,SMAP,arima,A-8,0,,0.0,0.0,"[[1244678400.0, 1245866400.0, 0.473508449420931]]","[[1337968800, 1420156800]]",,1,1,0,OK,189.817501,True,be02c475-2
0,SMAP,arima,A-9,0,0.6666666666666666,1.0,0.5,"[[1244678400.0, 1245758400.0, 1.3810694909605834], [1415491200.0, 1418904000.0, 0.8734440032785077]]","[[1337968800, 1421431200]]",,1,0,1,OK,324.88691,True,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS100,0,0.888888888888889,0.8,1.0,"[[349.0, 449.0, 0.01113549161639985], [553.0, 727.0, 0.2716766078171087], [949.0, 1050.0, 0.12305060735236369], [1137.0, 1429.0, 0.2708767728075216]]","[[150, 150], [343, 343], [398, 398], [423, 423], [602, 602], [674, 674], [998, 998], [1186, 1186], [1274, 1274], [1376, 1376]]",,0,2,8,OK,23.131718,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS10,0,1.0,1.0,1.0,"[[306.0, 407.0, 0.22885147734124636], [558.0, 661.0, 0.24747206949657563], [752.0, 855.0, 0.3565961153328545], [895.0, 998.0, 0.3436312105720293], [1132.0, 1287.0, 0.37180445905463005], [1516.0, 1616.0, 0.03659597618335634], [1628.0, 1680.0, 0.07082698001921538]]","[[355, 355], [608, 608], [802, 802], [945, 945], [1181, 1181], [1225, 1226], [1234, 1234], [1565, 1565], [1677, 1677]]",,0,0,9,OK,26.846334,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS11,0,0.7272727272727273,0.5714285714285714,1.0,"[[365.0, 469.0, 0.4529814939627209], [906.0, 1010.0, 0.1834524691626023], [1018.0, 1121.0, 0.3536013596534769], [1310.0, 1413.0, 0.3023734067498461]]","[[76, 76], [117, 117], [152, 152], [415, 415], [956, 956], [1068, 1068], [1359, 1359]]",,0,3,4,OK,27.849347,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS12,0,0.96,0.9230769230769232,1.0,"[[422.0, 594.0, 0.2335921191481565], [749.0, 851.0, 0.25687061277835377], [865.0, 1121.0, 0.1585625130141601], [1138.0, 1254.0, 0.08550610595392306], [1376.0, 1620.0, 0.30357696133657985]]","[[13, 13], [471, 471], [530, 530], [542, 542], [798, 798], [914, 914], [967, 967], [1070, 1070], [1187, 1187], [1200, 1200], [1425, 1425], [1516, 1516], [1567, 1567]]",,0,1,12,OK,24.864434,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS13,0,0.9411764705882352,0.8888888888888888,1.0,"[[421.0, 550.0, 0.1222368972099418], [704.0, 879.0, 0.2179795894478791], [947.0, 1048.0, 0.17399423588842894], [1186.0, 1344.0, 0.29755553238442445]]","[[15, 15], [470, 470], [497, 497], [753, 753], [793, 793], [828, 828], [996, 996], [1235, 1235], [1292, 1292]]",,0,1,8,OK,24.166667,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS14,0,1.0,1.0,1.0,"[[284.0, 384.0, 0.0712028044933514], [475.0, 575.0, 0.028345814709189555], [661.0, 833.0, 0.22606131422927606], [845.0, 1025.0, 0.1445680323875634], [1154.0, 1320.0, 0.06446110256112218], [1351.0, 1451.0, 0.098027386945767]]","[[333, 333], [360, 360], [524, 524], [710, 710], [718, 718], [782, 782], [894, 894], [942, 942], [974, 974], [1203, 1203], [1231, 1231], [1269, 1269], [1285, 1285], [1391, 1391], [1400, 1400]]",,0,0,15,OK,26.363293,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS15,0,0.8,0.6666666666666666,1.0,"[[274.0, 376.0, 0.26530542683380254], [919.0, 1022.0, 0.3267042438896258], [1275.0, 1422.0, 0.385696771849924]]","[[231, 231], [323, 323], [968, 968], [1325, 1325], [1370, 1370], [1659, 1659]]",,0,2,4,OK,23.395142,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS16,0,0.7142857142857143,0.5555555555555556,1.0,"[[914.0, 1062.0, 0.04696792520084872], [1098.0, 1198.0, 0.03907044808566708], [1303.0, 1430.0, 0.07666638356542571]]","[[13, 13], [395, 395], [524, 524], [963, 963], [1011, 1011], [1147, 1147], [1352, 1352], [1379, 1379], [1577, 1577]]",,0,4,5,OK,24.297925,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS17,0,1.0,1.0,1.0,"[[830.0, 934.0, 0.5686028724041818]]","[[879, 879]]",,0,0,1,OK,22.87298,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS18,0,0.8,0.6666666666666666,1.0,"[[305.0, 411.0, 0.6310778662653369], [511.0, 613.0, 0.2786494978752814], [787.0, 893.0, 0.28526149577795207], [1164.0, 1264.0, 0.10581196015075478], [1286.0, 1403.0, 0.2444970517965476]]","[[45, 45], [176, 176], [348, 348], [354, 354], [356, 356], [560, 560], [836, 836], [1213, 1213], [1335, 1335], [1351, 1351], [1462, 1462], [1617, 1617]]",,0,4,8,OK,24.474637,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS19,0,0.7499999999999999,0.6,1.0,"[[362.0, 466.0, 0.4090121719218207], [529.0, 632.0, 0.3454542224567369], [983.0, 1086.0, 0.12943705438854258], [1163.0, 1265.0, 0.2829760221602336], [1344.0, 1479.0, 0.05067018371799556]]","[[96, 96], [135, 135], [412, 412], [579, 579], [1032, 1032], [1212, 1212], [1392, 1392], [1428, 1428], [1556, 1556], [1562, 1562]]",,0,4,6,OK,25.237447,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS1,0,0.7777777777777778,0.6363636363636364,1.0,"[[446.0, 549.0, 0.26947192868046493], [854.0, 1112.0, 0.1686962503208605], [1364.0, 1468.0, 0.3242294738722128]]","[[29, 29], [62, 62], [114, 114], [213, 213], [495, 495], [903, 903], [943, 943], [975, 975], [1033, 1033], [1059, 1059], [1414, 1414]]",,0,4,7,OK,25.675574,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS20,0,0.8,0.6666666666666666,1.0,"[[347.0, 439.0, 0.366026484355545], [634.0, 735.0, 0.1305106785833369], [793.0, 941.0, 0.2149255664637632], [1041.0, 1142.0, 0.2479267833720304], [1174.0, 1279.0, 0.29633976613330787]]","[[226, 226], [259, 259], [277, 277], [296, 296], [384, 384], [683, 683], [834, 834], [842, 842], [861, 861], [886, 886], [1090, 1090], [1223, 1223]]",,0,4,8,OK,23.578513,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS21,0,0.9090909090909092,0.8333333333333334,1.0,"[[290.0, 392.0, 0.4999429521577751], [564.0, 671.0, 0.5943019114800098], [921.0, 1079.0, 0.4197485785241051], [1168.0, 1371.0, 0.1572660712400487], [1549.0, 1634.0, 0.015613925279576484]]","[[203, 203], [215, 215], [339, 339], [614, 614], [971, 971], [1026, 1026], [1217, 1217], [1234, 1234], [1285, 1285], [1319, 1319], [1598, 1598], [1633, 1633]]",,0,2,10,OK,25.668822,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS22,0,1.0,1.0,1.0,"[[681.0, 785.0, 0.5086620948369776], [846.0, 947.0, 0.29448006137909655], [1129.0, 1256.0, 0.4523528425685092]]","[[731, 731], [895, 895], [1178, 1178], [1203, 1203]]",,0,0,4,OK,23.206183,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS23,0,0.4210526315789474,0.2666666666666666,1.0,"[[637.0, 754.0, 0.2882931644903515], [889.0, 1047.0, 0.15023134180555794]]","[[9, 9], [173, 173], [426, 426], [686, 686], [701, 701], [938, 938], [996, 996], [1063, 1063], [1087, 1087], [1159, 1159], [1181, 1181], [1378, 1378], [1423, 1423], [1434, 1434], [1574, 1574]]",,0,11,4,OK,24.533432,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS24,0,0.9333333333333332,0.875,1.0,"[[347.0, 447.0, 0.12952600992167254], [702.0, 845.0, 0.26092230695497026], [863.0, 974.0, 0.3059395905201356], [1071.0, 1174.0, 0.14892890347706103], [1387.0, 1488.0, 0.3554461487661351]]","[[191, 191], [396, 396], [752, 752], [790, 790], [912, 912], [920, 920], [1120, 1120], [1436, 1436]]",,0,1,7,OK,23.686935,False,be02c475-2
0,YAHOOA3,arima,A3Benchmark-TS25,0,1.0,1.0,1.0,"[[1065.0, 1169.0, 0.6488413506313148], [1242.0, 1345.0, 0.3840878446665483]]","[[1115, 1115], [1291, 1291]]",,0,0,2,OK,24.365301,False,be02c475-2
