pipeline,rank,dataset,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
LSTM-AE (M),1,artificialWithAnomaly,art_daily_flatmiddle,0,1.0,1.0,1.0,"[[1397136000.0, 1397199000.0, 0.07535057124665151]]","[[1397106900, 1397227500]]",,0,0,1,OK,19.446652,False,34eaecda-5
LSTM-AE (M),2,YAHOOA2,synthetic_5,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.3643308156754815], [840.0, 951.0, 0.6150830006313779]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.08801,False,34eaecda-5
LSTM-AE (M),3,YAHOOA2,synthetic_18,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.3613260615696587]]","[[894, 894]]",,0,0,1,OK,15.261157,False,34eaecda-5
LSTM-AE (M),4,YAHOOA2,synthetic_32,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.24030750386543087], [839.0, 951.0, 0.8430184690320454]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.137635,False,34eaecda-5
LSTM-AE (M),5,YAHOOA2,synthetic_26,0,1.0,1.0,1.0,"[[573.0, 715.0, 0.1130852376892899], [840.0, 947.0, 0.12145393983317523]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.221672,False,34eaecda-5
LSTM-AE (M),6,YAHOOA2,synthetic_37,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.4857735181162998], [839.0, 950.0, 0.4454423116475236]]","[[659, 660], [894, 895]]",,0,0,2,OK,15.733046,False,34eaecda-5
LSTM-AE (M),7,YAHOOA2,synthetic_23,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.11998486645945478], [840.0, 951.0, 0.6803790186340605]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,16.09963,False,34eaecda-5
LSTM-AE (M),8,YAHOOA2,synthetic_20,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.22129873612982887], [839.0, 951.0, 0.8224623657247307]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,14.904726,False,34eaecda-5
LSTM-AE (M),9,YAHOOA2,synthetic_34,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.4886022838783806], [839.0, 950.0, 0.41382082566152945]]","[[659, 660], [894, 895]]",,0,0,2,OK,15.324954,False,34eaecda-5
LSTM-AE (M),10,YAHOOA2,synthetic_35,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.34880346872414547], [839.0, 951.0, 1.2472310607676247]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,14.369563,False,34eaecda-5
LSTM-AE (M),11,YAHOOA2,synthetic_21,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.6787185970372037]]","[[894, 894]]",,0,0,1,OK,13.109962,False,34eaecda-5
LSTM-AE (M),12,YAHOOA2,synthetic_38,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.10498205539965323], [840.0, 950.0, 0.2288990179890703]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.070821,False,34eaecda-5
LSTM-AE (M),13,YAHOOA2,synthetic_11,0,1.0,1.0,1.0,"[[559.0, 715.0, 0.3085504595284466], [839.0, 951.0, 1.153388724807938]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.883671,False,34eaecda-5
LSTM-AE (M),14,YAHOOA2,synthetic_6,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.42160394667488765]]","[[894, 894]]",,0,0,1,OK,15.138813,False,34eaecda-5
