pipeline,rank,dataset,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
LSTM-AE,1,artificialWithAnomaly,art_daily_jumpsup,0,1.0,1.0,1.0,"[[1397167200.0, 1397224200.0, 0.31682443193757964]]","[[1397139300, 1397259900]]",,0,0,1,OK,18.929782,False,09b9730c-8
LSTM-AE,2,YAHOOA2,synthetic_22,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.09681463523647259], [894.0, 945.0, 0.050107368487001244]]","[[659, 660], [894, 895]]",,0,0,2,OK,15.951471,False,09b9730c-8
LSTM-AE,3,UCR,054-DISTORTEDWalkingAceleration5,0,1.0,1.0,1.0,"[[1224584700.0, 1224623400.0, 0.29735443014777174]]","[[1224595200, 1224612900]]",,0,0,1,OK,22.57774,True,09b9730c-8
LSTM-AE,4,UCR,172-gaitHunt3,0,1.0,1.0,1.0,"[[1234311300.0, 1234392600.0, 0.5013126058651054], [1234508400.0, 1234572600.0, 0.47513256095110007]]","[[1234339200, 1234579200]]",,0,0,1,OK,156.858508,True,09b9730c-8
LSTM-AE,5,YAHOOA2,synthetic_4,0,1.0,1.0,1.0,"[[603.0, 715.0, 0.631472611228621], [839.0, 950.0, 0.7059235027347615]]","[[659, 660], [894, 895]]",,0,0,2,OK,15.5769,False,09b9730c-8
LSTM-AE,6,YAHOOA1,real_10,0,1.0,1.0,1.0,"[[1377.0, 1438.0, 1.84700762620719]]","[[1427, 1439]]",,0,0,1,OK,14.98602,False,09b9730c-8
LSTM-AE,7,YAHOOA2,synthetic_38,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.0838576420976748], [840.0, 950.0, 0.19651525572120432]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.334321,False,09b9730c-8
LSTM-AE,8,YAHOOA1,real_2,0,1.0,1.0,1.0,"[[1307.0, 1438.0, 1.7308531258306468]]","[[1361, 1363], [1427, 1439]]",,0,0,2,OK,11.715767,False,09b9730c-8
LSTM-AE,9,UCR,227-mit14134longtermecg,0,1.0,1.0,1.0,"[[1231545300.0, 1231577100.0, 0.02066939422649508]]","[[1231519200, 1231549200]]",,0,0,1,OK,126.259358,True,09b9730c-8
LSTM-AE,10,UCR,220-STAFFIIIDatabase,0,1.0,1.0,1.0,"[[1298083800.0, 1298176800.0, 1.4101348733016292]]","[[1298035200, 1298230200]]",,0,0,1,OK,500.775562,True,09b9730c-8
