pipeline,rank,dataset,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
LSTM-VAE (M),1,artificialWithAnomaly,art_daily_jumpsup,0,1.0,1.0,1.0,"[[1397169000.0, 1397224200.0, 0.12285499503926936]]","[[1397139300, 1397259900]]",,0,0,1,OK,20.032362,False,f3a9a8b6-8
LSTM-VAE (M),2,YAHOOA2,synthetic_39,0,1.0,1.0,1.0,"[[850.0, 950.0, 0.028881414078240086]]","[[894, 894]]",,0,0,1,OK,16.955333,False,f3a9a8b6-8
LSTM-VAE (M),3,YAHOOA2,synthetic_31,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.5025572865407298], [839.0, 950.0, 0.34804096989834454]]","[[659, 660], [894, 895]]",,0,0,2,OK,16.704325,False,f3a9a8b6-8
LSTM-VAE (M),4,YAHOOA2,synthetic_19,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.47433786031435193], [839.0, 950.0, 0.2941005229923259]]","[[659, 660], [894, 895]]",,0,0,2,OK,15.783939,False,f3a9a8b6-8
LSTM-VAE (M),5,YAHOOA2,synthetic_32,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.23138555652839476], [839.0, 951.0, 0.8291437718436104]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,16.774934,False,f3a9a8b6-8
LSTM-VAE (M),6,YAHOOA2,synthetic_26,0,1.0,1.0,1.0,"[[572.0, 715.0, 0.07819714509367001], [840.0, 950.0, 0.08419521434116754]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.86207,False,f3a9a8b6-8
LSTM-VAE (M),7,YAHOOA2,synthetic_37,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.711151667512685], [839.0, 950.0, 0.7825494719880317]]","[[659, 660], [894, 895]]",,0,0,2,OK,16.73188,False,f3a9a8b6-8
LSTM-VAE (M),8,YAHOOA2,synthetic_23,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.17051958996430083], [839.0, 951.0, 0.8088750923261283]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.799485,False,f3a9a8b6-8
LSTM-VAE (M),9,YAHOOA2,synthetic_9,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.9491212243513487]]","[[894, 894]]",,0,0,1,OK,16.748359,False,f3a9a8b6-8
LSTM-VAE (M),10,YAHOOA2,synthetic_20,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.24582253933907186], [839.0, 951.0, 0.8008578365606078]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,16.630839,False,f3a9a8b6-8
LSTM-VAE (M),11,YAHOOA2,synthetic_34,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.4414465559944003], [839.0, 950.0, 0.35701704825947433]]","[[659, 660], [894, 895]]",,0,0,2,OK,15.448967,False,f3a9a8b6-8
LSTM-VAE (M),12,YAHOOA2,synthetic_35,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.3170459186469654], [839.0, 951.0, 1.0734580143250623]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,16.591673,False,f3a9a8b6-8
LSTM-VAE (M),13,YAHOOA2,synthetic_21,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.21114802784843137]]","[[894, 894]]",,0,0,1,OK,15.698819,False,f3a9a8b6-8
LSTM-VAE (M),14,YAHOOA2,synthetic_7,0,1.0,1.0,1.0,"[[603.0, 715.0, 0.8898699444087657], [839.0, 951.0, 0.8698612246850396]]","[[659, 660], [894, 895]]",,0,0,2,OK,16.70181,False,f3a9a8b6-8
LSTM-VAE (M),15,YAHOOA2,synthetic_38,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.10615907991782836], [840.0, 950.0, 0.20814984861401958]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.791133,False,f3a9a8b6-8
LSTM-VAE (M),16,YAHOOA2,synthetic_11,0,1.0,1.0,1.0,"[[558.0, 715.0, 0.30565016086052715], [839.0, 951.0, 1.2138839179421312]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.784779,False,f3a9a8b6-8
LSTM-VAE (M),17,YAHOOA2,synthetic_81,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.28892259359336436]]","[[894, 894]]",,0,0,1,OK,15.762127,False,f3a9a8b6-8
LSTM-VAE (M),18,YAHOOA2,synthetic_6,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.46610970572989413]]","[[894, 894]]",,0,0,1,OK,16.828363,False,f3a9a8b6-8
LSTM-VAE (M),19,YAHOOA2,synthetic_4,0,1.0,1.0,1.0,"[[603.0, 715.0, 1.087196067275262], [839.0, 950.0, 0.8865756646489241]]","[[659, 660], [894, 895]]",,0,0,2,OK,16.585254,False,f3a9a8b6-8
LSTM-VAE (M),20,YAHOOA2,synthetic_13,0,1.0,1.0,1.0,"[[603.0, 715.0, 0.6952197142384406], [839.0, 950.0, 0.5879133492174788]]","[[659, 660], [894, 895]]",,0,0,2,OK,15.710528,False,f3a9a8b6-8
LSTM-VAE (M),21,YAHOOA2,synthetic_16,0,1.0,1.0,1.0,"[[603.0, 715.0, 0.6563853737818179], [839.0, 950.0, 0.5781018183548441]]","[[659, 660], [894, 895]]",,0,0,2,OK,16.776785,False,f3a9a8b6-8
