pipeline,rank,dataset,signal,iteration,f1,recall,precision,observed,expected,tn,fp,fn,tp,status,elapsed,split,run_id
LSTM-VAE,1,artificialWithAnomaly,art_daily_flatmiddle,0,1.0,1.0,1.0,"[[1397136000.0, 1397199000.0, 0.03214675896986179]]","[[1397106900, 1397227500]]",,0,0,1,OK,20.431596,False,3f0f5cc8-7
LSTM-VAE,2,YAHOOA2,synthetic_3,0,1.0,1.0,1.0,"[[838.0, 939.0, 0.41526489068334954]]","[[894, 894]]",,0,0,1,OK,16.564334,False,3f0f5cc8-7
LSTM-VAE,3,YAHOOA2,synthetic_22,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.09960252156674226], [840.0, 945.0, 0.016903836862180104]]","[[659, 660], [894, 895]]",,0,0,2,OK,17.562706,False,3f0f5cc8-7
LSTM-VAE,4,YAHOOA2,synthetic_34,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.3259467772926734], [839.0, 950.0, 0.2609267297916233]]","[[659, 660], [894, 895]]",,0,0,2,OK,16.065397,False,3f0f5cc8-7
LSTM-VAE,5,YAHOOA2,synthetic_21,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.10895791683414967]]","[[894, 894]]",,0,0,1,OK,16.679614,False,3f0f5cc8-7
LSTM-VAE,6,YAHOOA2,synthetic_38,0,1.0,1.0,1.0,"[[570.0, 707.0, 0.11684284362597777], [840.0, 950.0, 0.23808961091037478]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,15.562936,False,3f0f5cc8-7
LSTM-VAE,7,YAHOOA2,synthetic_39,0,1.0,1.0,1.0,"[[850.0, 950.0, 0.03851402984407932]]","[[894, 894]]",,0,0,1,OK,16.825339,False,3f0f5cc8-7
LSTM-VAE,8,YAHOOA2,synthetic_6,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.398219482787345]]","[[894, 894]]",,0,0,1,OK,17.488088,False,3f0f5cc8-7
LSTM-VAE,9,YAHOOA2,synthetic_4,0,1.0,1.0,1.0,"[[603.0, 715.0, 0.6819925146564689], [839.0, 950.0, 0.6542769069753568]]","[[659, 660], [894, 895]]",,0,0,2,OK,17.315977,False,3f0f5cc8-7
LSTM-VAE,10,YAHOOA2,synthetic_1,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.5009842527875399], [839.0, 950.0, 0.49040102120800316]]","[[659, 660], [894, 895]]",,0,0,2,OK,16.57569,False,3f0f5cc8-7
LSTM-VAE,11,YAHOOA2,synthetic_67,0,1.0,1.0,1.0,"[[603.0, 715.0, 0.4677240382799297], [839.0, 950.0, 0.4280664493501666]]","[[659, 660], [894, 895]]",,0,0,2,OK,17.361761,False,3f0f5cc8-7
LSTM-VAE,12,YAHOOA2,synthetic_32,0,1.0,1.0,1.0,"[[570.0, 715.0, 0.25677135839624365], [839.0, 951.0, 0.8253481596934209]]","[[624, 626], [659, 661], [894, 896]]",,0,0,3,OK,17.320384,False,3f0f5cc8-7
LSTM-VAE,13,YAHOOA2,synthetic_72,0,1.0,1.0,1.0,"[[838.0, 950.0, 0.05748490055763979]]","[[894, 894]]",,0,0,1,OK,15.564142,False,3f0f5cc8-7
LSTM-VAE,14,YAHOOA2,synthetic_66,0,1.0,1.0,1.0,"[[838.0, 939.0, 0.10998621899733624]]","[[894, 894]]",,0,0,1,OK,16.778764,False,3f0f5cc8-7
LSTM-VAE,15,YAHOOA2,synthetic_64,0,1.0,1.0,1.0,"[[604.0, 715.0, 0.23927016510408033], [841.0, 950.0, 0.07306808110167975]]","[[659, 660], [894, 895]]",,0,0,2,OK,17.329914,False,3f0f5cc8-7
